"id","type","periods__|","periods__|__id","periods__|__type","periods__|__source__locator","periods__|__label","periods__|__language","periods__|__languageTag","periods__|__broader","periods__|__spatialCoverage__id","periods__|__spatialCoverage__label","periods__|__spatialCoverageDescription","periods__|__start__label","periods__|__start__in__year","periods__|__stop__label","periods__|__stop__in__year","periods__|__note","periods__|__editorialNote","periods__|__localizedLabels__en__-","@context__@base","source__citation","source__title","source__yearPublished","source__url","source__creators__name","@context","primaryTopicOf__id","primaryTopicOf__inDataset__id","primaryTopicOf__inDataset__changes"
"p0bw9m8","Authority","p0bw9m85g3f","p0bw9m85g3f","Period","pp. 77-82","Archaic Stage","http://lexvo.org/id/iso639-1/en","en","","http://www.wikidata.org/entity/Q1439","Texas","Central Texas","ca 8500 B.P. (ca 6550 B.C.)","-6549","1250 B.P. (A.D. 700)","0700","","Date range of general period inferred from start date of earliest phase and end date of latest stage; 8500 BP to 1250 BP also specified in chronological chart on p. 75.","Archaic Stage","","Prewitt, E. 1981. “Cultural chronology in Central Texas.” Bulletin of the Texas Archaeological Society 52: 65–90.\n","Cultural chronology in Central Texas","1981","https://texashistory.unt.edu/ark:/67531/metapth1013900/","Elton Prewitt","http://n2t.net/ark:/99152/p0c","p0bw9m8.json","p0d","p0h#changes"
"","","p0bw9m8qwhn","p0bw9m8qwhn","Period","pp. 82-84","Neoarchaic Stage","http://lexvo.org/id/iso639-1/en","en","","http://www.wikidata.org/entity/Q1439","Texas","Central Texas","1250 B.P. (A.D. 700)","0700","200 B.P. (A.D. 1750)","1750","","Date range of broader stage inferred from start and end dates of its earliest and latest stages; range of 1250 B.P. to 200 B.P. also provided in chart on p. 75.","Neoarchaic Stage","http://n2t.net/ark:/99152/","","","","","","","","",""
"","","p0bw9m8c3c9","p0bw9m8c3c9","Period","p. 77","Circleville Phase","http://lexvo.org/id/iso639-1/en","en","p0bw9m85g3f","http://www.wikidata.org/entity/Q1439","Texas","Central Texas","ca 8500 B.P. (ca 6550 B.C.)","-6549","7000 B.P. (5050 B.C.)","-5049","Cited: ""Prewitt, in press; Patternson, 1977"".","","Circleville Phase","","","","","","","","","",""
"","","p0bw9m83vdh","p0bw9m83vdh","Period","p. 77","San Geronimo Phase","http://lexvo.org/id/iso639-1/en","en","p0bw9m85g3f","http://www.wikidata.org/entity/Q1439","Texas","Central Texas","7000 B.P. (5050 B.C.)","-5049","ca 6000 B.P. (ca 4050 B.C.)","-4049","Cited: ""Weir, 1976"".","","San Geronimo Phase","","","","","","","","","",""
"","","p0bw9m8gcgw","p0bw9m8gcgw","Period","p. 78","Jarrell Phase","http://lexvo.org/id/iso639-1/en","en","p0bw9m85g3f","http://www.wikidata.org/entity/Q1439","Texas","Central Texas","ca 6000 B.P. (ca 4050 B.C.)","-4049","5000 B.P. (3050 B.C.)","-3049","Cited: ""new name; Sorrow et al., 1967"".","","Jarrell Phase","","","","","","","","","",""
"","","p0bw9m8p6nf","p0bw9m8p6nf","Period","p.78","Oakalla Phase","http://lexvo.org/id/iso639-1/en","en","p0bw9m85g3f","http://www.wikidata.org/entity/Q1439","Texas","Central Texas","5000 B.P. (3050 B.C.)","-3049","ca 4600 B.P. (ca 2650 B.C.)","-2649","Cited: ""new name; Sorrow et al., 1967"".","","Oakalla Phase","","","","","","","","","",""
"","","p0bw9m8pzcr","p0bw9m8pzcr","Period","p. 79","Clear Fork Phase","http://lexvo.org/id/iso639-1/en","en","p0bw9m85g3f","http://www.wikidata.org/entity/Q1439","Texas","Central Texas","ca 4600 B.P. (ca 2650 B.C.)","-2649","4000 B.P. (2050 B.C.)","-2049","Cited: ""Weir, 1976"".","","Clear Fork Phase","","","","","","","","","",""
"","","p0bw9m8df3q","p0bw9m8df3q","Period","p. 79","Marshall Ford Phase","http://lexvo.org/id/iso639-1/en","en","p0bw9m85g3f","http://www.wikidata.org/entity/Q1439","Texas","Central Texas","4000 B.P. (2050 B.C.)","-2049","ca 3400 B.P. (ca 1450 B.C.)","-1449","Cited: ""new name; Weir, 1976"".","","Marshall Ford Phase","","","","","","","","","",""
"","","p0bw9m8t4k7","p0bw9m8t4k7","Period","p. 80","Round Rock Phase","http://lexvo.org/id/iso639-1/en","en","p0bw9m85g3f","http://www.wikidata.org/entity/Q1439","Texas","Central Texas","ca 3400 B.P. (ca 1450 B.C.)","-1449","2600 B.P. (650 B.C.)","-0649","Cited: ""Weir, 1976"".","","Round Rock Phase","","","","","","","","","",""
"","","p0bw9m86qh2","p0bw9m86qh2","Period","pp. 80-81","San Marcos Phase","http://lexvo.org/id/iso639-1/en","en","p0bw9m85g3f","http://www.wikidata.org/entity/Q1439","Texas","Central Texas","2600 B.P. (650 B.C.)","-0649","ca 2250 B.P. (ca 300 B.C.)","-0299","Cited: ""Weir, 1976"".","","San Marcos Phase","","","","","","","","","",""
"","","p0bw9m853bn","p0bw9m853bn","Period","p. 81","Uvalde Phase","http://lexvo.org/id/iso639-1/en","en","p0bw9m85g3f","http://www.wikidata.org/entity/Q1439","Texas","Central Texas","ca 2250 B.P. (ca 300 B.C.)","-0299","1750 B.P. (A.D. 200)","0200","Cited: ""new name; Kelly, 1947a"".","","Uvalde Phase","","","","","","","","","",""
"","","p0bw9m88mx8","p0bw9m88mx8","Period","pp. 81-82","Twin Sisters Phase","http://lexvo.org/id/iso639-1/en","en","p0bw9m85g3f","http://www.wikidata.org/entity/Q1439","Texas","Central Texas","1750 B.P. (A.D. 200)","0200","ca 1400 B.P. (ca A.D. 550)","0550","Cited: ""Weir, 1976"".","","Twin Sisters Phase","","","","","","","","","",""
"","","p0bw9m8bttc","p0bw9m8bttc","Period","p. 82","Driftwood Phase","http://lexvo.org/id/iso639-1/en","en","p0bw9m85g3f","http://www.wikidata.org/entity/Q1439","Texas","Central Texas","ca 1400 B.P. (ca A.D. 550)","0550","1250 B.P. (A.D. 700)","0700","Cited: ""new name; Weir, 1976"".","","Driftwood Phase","","","","","","","","","",""
"","","p0bw9m8trxt","p0bw9m8trxt","Period","pp. 82-83","Austin Phase","http://lexvo.org/id/iso639-1/en","en","p0bw9m8qwhn","http://www.wikidata.org/entity/Q1439","Texas","Central Texas","1250 B.P. (A.D. 700)","0700","650 B.P. (A.D. 1300)","1300","Cited: ""Jelks, 1962"".","","Austin Phase","","","","","","","","","",""
"","","p0bw9m8rf48","p0bw9m8rf48","Period","pp. 83-84","Toyah Phase","http://lexvo.org/id/iso639-1/en","en","p0bw9m8qwhn","http://www.wikidata.org/entity/Q1439","Texas","Central Texas","650 B.P. (A.D. 1300)","1300","200 B.P. (A.D. 1750)","1750","Cited: ""Jelks, 1962"".","","Toyah Phase","","","","","","","","","",""
