Unique Identifier,Source (TARL Library file or primary URL),Zotero URL,Trinomial,Location (GCS),Location Source,Geonames URI,Elevation,County,Location Notes,Report Includes Absolute Dates,Report Includes Relative Dates,Number of Absolute Dates,Dating Method,Reference for Age,Earliest Start Date,Latest Start Date,Earliest End Date,Latest End Date,Time Step Size,Depth of Sequence,Earliest Arch Period,Earliest PeriodO URI,Latest Arch Period,Latest PeriodO URI,Material Classes,Validity of Record
1,AR-TX_SWTSU_03-031.pdf,,41HY165,"29.890674,-97.932657",TARL,,,HY,,Y,Y,24,AMS,Internal,,4490 BP,1700 CE,1950 CE,,1.2m,Paleoindian,http://n2t.net/ark:/99152/p07fthdqd8t,Historic,http://n2t.net/ark:/99152/p07fthdvbjk,"BRCK,CERM,DBTG,HIST,LITH,MBOT,VTFR",
2,AR-TX_BAI_01_2016-02.pdf,,41VV2013,"29.430942,-100.865032",TARL,,,VV,,Y,Y,7,AMS,Internal,53 CE,266 CE,1619 CE,1670 CE,,3.7m,Middle Archaic,http://n2t.net/ark:/99152/p07fthdrsfd,Historic,http://n2t.net/ark:/99152/p07fthdvbjk,"BRCK,CERM,DBTG,LITH,MBOT,POLL",
3,AR-TX_SWTSU_03-032.pdf,,41HY160,"29.893635,-97.928401",TARL,,,HY,,Y,Y,15,"AMS,STY",Internal,6932 BP,6792 BP,544 BP,514 BP,,2.9m,Early Archaic,http://n2t.net/ark:/99152/p07fthdjbz5,Late Prehistoric,http://n2t.net/ark:/99152/p07fthd99mc,"BRCK,CERM,DBTG,VTFR,NISO,OISO",
4,AR-TX_LCRA_04-015.pdf,,41SS178,"31.196365,-98.711904",TARL,,,SS,,Y,Y,1,RAC,Internal,11500 BP,8800 BP,910 BP,830 BP,,1m,Paleoindian,http://n2t.net/ark:/99152/p07fthdqd8t,Late Prehistoric,http://n2t.net/ark:/99152/p07fthd99mc,"BRCK,CERM,DBTG,CTFR,INFR,LITH",Useful regarding shellfish it seems
5,AR-TX_SWCA_03_2007-373.pdf,,41WM1028,"30.51204,-97.636002",TARL,,715m,WM,,Y,Y,1,RAC,Brownlow 2003,,6850 BCE,1150 CE,1690 CE,,1.9m,Early Archaic,http://n2t.net/ark:/99152/p07fthdjbz5,Late Prehistoric,http://n2t.net/ark:/99152/p07fthd99mc,"BRCK,DBTG,LITH",Doesn’t seem super useful
6,HESI_060231AR_CR_Testing_Viscaya_Dev_Vol_2_Spicewood_Travis_CO_TX_TAC_na_2007.pdf,,41TV2263,"30.381842,-98.022783",TARL,,665m,TV,Western end of a small peninsula extending easterly into Lake Travis,Y,Y,2,RAC,Internal,910 BC,760 BC,1230 CE,,,1.1m,Late Archaic,http://n2t.net/ark:/99152/p07fthdrsfd,Late Prehistoric,http://n2t.net/ark:/99152/p07fthd99mc,"BRCK,LITH,MBOT,INFR,",Very comprehensive report with emphasis on site 41TV2265
7,HESI_060231AR_CR_Testing_Viscaya_Dev_Vol_2_Spicewood_Travis_CO_TX_TAC_na_2007.pdf,,41TV2265,"30.379842,-98.023602",TARL,,655m,TV,Upland area routinely inundated by Lake Travis,Y,Y,7,RAC,Internal,9550 BC,6850 BCE,690 CE,950 CE,,1.5m,Paleoindian,http://n2t.net/ark:/99152/p07fthdqd8t,Late Prehistoric,http://n2t.net/ark:/99152/p07fthd99mc,"BRCK,DBTG,LITH,MBOT,INFR,",
8,Vol.\ 65_1994.pdf,,41BC65,"30.498447,-98.471717",TARL,,,,Sleeper,,Y,,,,,,,,,,Early Archaic,http://n2t.net/ark:/99152/p07fthdjbz5,,,"BRCK,DBTG,HIST,INFR,LITH,",Early Archaic campsite|rare single component site|u
,,,41BL323,,,,,,Gault,,,,,,,,,,,,,,,,,
9,http://car.utsa.edu/CARResearch/Publications/ASRFiles/201-300/ASR%20No.%20265.pdf,,41BX126,"29.496863,-98.703136",TARL,,,BX,Culebra Creek,Y,Y,97,RAC,Internal,,,,,,,Early Archaic,http://n2t.net/ark:/99152/p07fthdjbz5,Historic,http://n2t.net/ark:/99152/p07fthdvbjk,"BRCK,DBTG,HIST,CERM,LITH,MBOT,VTFR","Comprehensive, lacks explicit radiocarbon table, very detailed but relatively small number of drawn conclusions"
,,,41BX184,,,,,,Higgins,,,,,,,,,,,,,,,,,
10,https://scholarworks.sfasu.edu/ita/vol1985/iss1/1,,41BX228,"29.562028,-98.504648",TARL,,,BX,Panther Springs Creek,N,Y,0,/,Internal,,,,,,,Paleoindian,http://n2t.net/ark:/99152/p07fthdqd8t,Late Archaic,http://n2t.net/ark:/99152/p07fthdrsfd,"LITH, DBTG","Huge amount of information regarding lithics, not much of anything else, and no useful analysis"
11,AR-TX_TARL_01a.1994.01.pdf,,41BX52,"29.50839,-98.602285",TARL,,303.732m,BX,Pavo Real,Y,Y,2,RAC,Haynes 1992,10500 BP,11500 BP,650 CE,750 CE,,0.7m,Early Paleoindian,http://n2t.net/ark:/99152/p07fthdqd8t,Early Archaic,http://n2t.net/ark:/99152/p07fthdjbz5,"BRCK,DBTG,INFR,LITH,MBOT",
12,Mandel+(1992).txt,,41BX831,"29.257366,-98.517989",TARL,,,BX,Richard Beene,,,22,AMS,Internal,,,,,,2.6m,Late Paleoindian,http://n2t.net/ark:/99152/p07fthdrsfd,Late Prehistoric,http://n2t.net/ark:/99152/p07fthd99mc,"BRCK,LITH,DBTG,INFR,","Seems mildly useful, it doesn’t feel like primary literature but claims to be-- probably better to find a more detailed archaeological record for the site"
,,,41BX996,,,,,,Number 6,,,,,,,,,,,,,,,,,
13,BTAS_414693_Text_v6.pdf,,41CM1,"29.890353,-98.276625",TARL,,274m,CM,Oblate,Y,Y,4,"RAC,STY","Stuiver, Reimer, 2011",4821 BP,3083 BP,,,,2.74m,Late Archaic,http://n2t.net/ark:/99152/p07fthdrsfd,Historic,http://n2t.net/ark:/99152/p07fthdvbjk,,"Great, lot of projectile points"
,,,41ED28,,,,,,Varga,,,,,,,,,,,,,,,,,
14,CAS_TSU-SWTSU_AS_Rept_18_Prehistoric_Life_Zatopec_Site_San_Marcos_TX_TAC_5469.pdf,,41HY163,"29.86929,-97.967105",TARL,,,HY,Zatopec,Y,Y,26,"RAC,STY,AAR",Internal,4000 BP,2200 BP,300 BP,200 BP,,,Early Archaic,http://n2t.net/ark:/99152/p07fthdjbz5,Early Historic,http://n2t.net/ark:/99152/p07fthdjjrw,"BRCK,CERM,DBTG,HIST,HUMN,VTFR,LITH,MBOT,CISO,NISO,POLL","724 page monster, extremely detailed"
15,BTAS Volume 80 (2009) OCR.pdf,,41KR621,"30.064145,-00.181956",TARL,,,KR,Gatlin,Y,Y,19,RAC,Internal,7570 BP,7420 BP,3720 BP,3560 BP,,,Early Archaic,http://n2t.net/ark:/99152/p07fthdjbz5,Late Archaic,http://n2t.net/ark:/99152/p07fthdrsfd,"BRCK,DBTG,VTFR,LITH,",Very useful Early-Middle Archaic artifacts
16,Vol.\ 65_1994.pdf,,41ME29,,,,,ME,Jonas Terrace,Y,N,12,AMS,Internal,4560 BP,4400 BP,1490 BP,1370 BP,,,Middle Archaic,http://n2t.net/ark:/99152/p07fthdrsfd,Late Prehistoric,http://n2t.net/ark:/99152/p07fthd99mc,"BRCK,DBTG","Not much here, as the site is mostly used to establish a Central Texas chronology"
,,,41MS32,,,,,MS,Honey Creek,,,,,,,,,,,,,,,,,
17,CAS_TSU-SWTSU_AS_Rept_18_Prehistoric_Life_Zatopec_Site_San_Marcos_TX_TAC_5469.pdf,,41TG346,"31.549,-100.57283",TARL,,,TG,Rush,N,Y,0,,None,,,,,,,Toyah,http://n2t.net/ark:/99152/p07fthdjbz5,Late Prehistoric,http://n2t.net/ark:/99152/p07fthd99mc,"VTFR,INFR",Data about bison remains. Otherwise useless
18,Vara Daniel Site 41TV1364 ECOMM 2010.pdf,,41TV1364,"30.266456,-97.768845",TARL,,143m,TV,Vara Daniel,Y,Y,19,"OSL, AMS",Internal,10900 BP,10395 BP,9230 BP,8630 BP,,6.2m,Pre-Clovis,,Early Archaic,http://n2t.net/ark:/99152/p07fthdjbz5,"BRCK,DBTG,INFR,LITH,MBOT,OISO,CISO","Tons of data, but organization, especially re: dating, is weak"
,,,41TV528,,,,,,Eckols,,,,,,,,,,,,,,,,,
,,,41UV2,,,,,,Kincaid Shelter,,,,,,,,,,,,,,,,,
,,,41UV60,,,,,,Anthon,,,,,,,,,,,,,,,,,
,,,41UV88,,,,,,Woodrow Heard,,,,,,,,,,,,,,,,,
,,,41VV188,,,,,VV,Devil’s Mouth,,,,,,,,,,,,,,,,,
19,(pp 111-127) Diet Change in the Lower Pecos_Analysis of Baker Cave Coprolites Kristin D Sobolik.pdf,,41VV213,"29.985916,-101.105793",TARL,,,VV,Baker Cave,Y,Y,1,RAC,"Brown, 1988",7000 BC,,900 AD,,,,Late Paleoindian,http://n2t.net/ark:/99152/p07fthdrsfd,Late Prehistoric,http://n2t.net/ark:/99152/p07fthd99mc,"POLL,COPR,INFR,VTFR,",Short document with heavy focus on coprolite samples
,,,41VV218,"29.815969,-101.549181",TARL,,,VV,Bonfire Shelter,,,,,,,,,,,,,,,,,
20,AR-TX_TARL_02.008.pdf,,41VV456,"29.892168,-101.440259",TARL,,,VV,Hinds Cave,Y,N,30,RAC,Various,11550 BP,Pm 190,1230 BP,Pm 190,,,Paleoindian,http://n2t.net/ark:/99152/p07fthdqd8t,Late Archaic,http://n2t.net/ark:/99152/p07fthdrsfd,"BRCK,LITH","Lower Pecos prehistory, nothing really focusing on Hinds Cave here"
,,,41VV74,"29.698921,-101.312545",TARL,,,VV,Fate Bell,Y,Y,,,,,,,,,,,,,,,
21,AR-TX_TARL_02.008.pdf,,41VV99,"29.706185,-101.362926",TARL,,,VV,Arenosa Shelter,Y,Y,32,RAC,Various,9550 BP,Pm 190,1320 BP,450 BP,,,Early Archaic,http://n2t.net/ark:/99152/p07fthdjbz5,Late Archaic,http://n2t.net/ark:/99152/p07fthdrsfd,LITH,"Tons of raw data, not much analysis. Discussion over Langtry points"
,,,41WM13,,,,,,Bessie Kruze,,,,,,,,,,,,,,,,,
,,,41WM230,"30.657758,-97.407819",TARL,,,WM,Loeve-Fox,N,Y,0,,"Prewitt, 1974",,,,,,,Toyah,http://n2t.net/ark:/99152/p07fthdjbz5,Round Rock,http://n2t.net/ark:/99152/p0qkjhbfg9f,"BRCK,HUMN,LITH,CERM,INFR,",Document is useful for subperiod breakdown more than anything
,,,41WM325,,,,,,Wilson-Leonard,,,,,,,,,,,,,,,,,
,,,41WM989,"30.481403,-97.743326",TARL,,,WM,Davis Spring Branch,,Y,,,,,,,,,,,,,,,
